Material,T,k
"Steel - Stainless, Type 347",20,14.3
"Steel - Tungsten, 1% W",20,66
Steel - Wrought Carbon,0,59
Tantalum,-73,57.5
Tantalum,0,57.4
Tantalum,127,57.8
Tantalum,327,58.9
Tantalum,527,59.4
Tantalum,727,60.2
Tantalum,927,61
Thorium,20,42
Tin,-73,73.3
Tin,0,68.2
Tin,127,62.2
Titanium,-73,24.5
Titanium,0,22.4
Titanium,127,20.4
Titanium,327,19.4
Titanium,527,19.7
Titanium,727,20.7
Titanium,927,22
Tungsten,-73,197
Tungsten,0,182
Tungsten,127,162
Tungsten,327,139
Tungsten,527,128
Tungsten,727,121
Tungsten,927,115
Uranium,-73,25.1
Uranium,0,27
Uranium,127,29.6
Uranium,327,34
Uranium,527,38.8
Uranium,727,43.9
Uranium,927,49
Vanadium,-73,31.5
Vanadium,0,31.3
Vanadium,427,32.1
Vanadium,327,34.2
Vanadium,527,36.3
Vanadium,727,38.6
Vanadium,927,41.2
Zinc,-73,123
Zinc,0,122
Zinc,127,116
Zinc,327,105
Zirconium,-73,25.2
Zirconium,0,23.2
Zirconium,127,21.6
Zirconium,327,20.7
Zirconium,527,21.6
Zirconium,727,23.7
Zirconium,927,25.7
